timestamp,class,name
17:0:50:667, __InstanceDeletionEvent, chrome.exe, 22220
17:1:15:569, __InstanceCreationEvent, chrome.exe, 11080
17:1:15:569, __InstanceCreationEvent, chrome.exe, 13916
17:1:15:569, __InstanceCreationEvent, chrome.exe, 17356
17:1:15:569, __InstanceCreationEvent, chrome.exe, 20700
17:1:18:672, __InstanceDeletionEvent, svchost.exe, 13976
17:1:31:59, __InstanceDeletionEvent, chrome.exe, 20700
17:1:45:524, __InstanceDeletionEvent, chrome.exe, 5892
17:1:50:686, __InstanceDeletionEvent, chrome.exe, 13916
17:2:15:481, __InstanceCreationEvent, chrome.exe, 21772
17:2:15:481, __InstanceDeletionEvent, svchost.exe, 14000
17:2:45:429, __InstanceDeletionEvent, chrome.exe, 17356
17:2:50:591, __InstanceDeletionEvent, chrome.exe, 21772
17:3:15:360, __InstanceCreationEvent, chrome.exe, 10288
17:3:50:513, __InstanceDeletionEvent, chrome.exe, 10288
17:4:15:281, __InstanceCreationEvent, chrome.exe, 14704
17:4:50:370, __InstanceDeletionEvent, chrome.exe, 14704
17:5:15:144, __InstanceCreationEvent, chrome.exe, 5932
17:5:50:257, __InstanceDeletionEvent, chrome.exe, 5932
17:6:13:993, __InstanceCreationEvent, RuntimeBroker.exe, 20192
17:6:15:35, __InstanceCreationEvent, chrome.exe, 12412
17:6:15:35, __InstanceCreationEvent, chrome.exe, 15460
17:6:15:35, __InstanceCreationEvent, chrome.exe, 7908
17:6:31:575, __InstanceDeletionEvent, chrome.exe, 15460
17:6:46:21, __InstanceDeletionEvent, chrome.exe, 11080
17:6:50:153, __InstanceDeletionEvent, chrome.exe, 12412
17:6:54:280, __InstanceDeletionEvent, RuntimeBroker.exe, 20192
17:7:14:917, __InstanceCreationEvent, chrome.exe, 12836
17:7:14:933, __InstanceCreationEvent, svchost.exe, 17836
17:7:17:3, __InstanceCreationEvent, backgroundTaskHost.exe, 10192
17:7:17:3, __InstanceCreationEvent, RuntimeBroker.exe, 16992
17:7:17:3, __InstanceCreationEvent, svchost.exe, 9992
17:7:27:325, __InstanceCreationEvent, svchost.exe, 20428
17:7:50:64, __InstanceDeletionEvent, chrome.exe, 12836
17:8:8:666, __InstanceCreationEvent, chrome.exe, 12612
17:8:14:859, __InstanceCreationEvent, chrome.exe, 10028
17:8:20:39, __InstanceDeletionEvent, backgroundTaskHost.exe, 10192
17:8:49:969, __InstanceDeletionEvent, chrome.exe, 10028
17:8:49:969, __InstanceDeletionEvent, RuntimeBroker.exe, 16992
17:9:15:845, __InstanceCreationEvent, chrome.exe, 10324
17:9:50:951, __InstanceDeletionEvent, chrome.exe, 10324
17:10:15:770, __InstanceCreationEvent, chrome.exe, 19024
17:10:38:520, __InstanceDeletionEvent, chrome.exe, 12612
17:10:50:906, __InstanceDeletionEvent, chrome.exe, 19024
17:11:2:636, __InstanceCreationEvent, conhost.exe, 12760
17:11:2:636, __InstanceCreationEvent, OpenConsole.exe, 2136
17:11:2:636, __InstanceCreationEvent, cmd.exe, 2172
17:11:2:636, __InstanceCreationEvent, WindowsTerminal.exe, 22108
17:11:3:314, __InstanceDeletionEvent, conhost.exe, 12760
17:11:3:330, __InstanceDeletionEvent, OpenConsole.exe, 2136
17:11:3:330, __InstanceDeletionEvent, cmd.exe, 2172
17:11:3:330, __InstanceDeletionEvent, WindowsTerminal.exe, 22108
17:11:15:706, __InstanceCreationEvent, chrome.exe, 11612
17:11:15:706, __InstanceCreationEvent, chrome.exe, 16056
17:11:15:706, __InstanceCreationEvent, chrome.exe, 9124
17:11:31:280, __InstanceDeletionEvent, chrome.exe, 9124
17:11:45:793, __InstanceDeletionEvent, chrome.exe, 7908
17:11:49:939, __InstanceDeletionEvent, chrome.exe, 16056
17:12:15:762, __InstanceCreationEvent, chrome.exe, 9164
17:12:16:801, __InstanceDeletionEvent, svchost.exe, 9992
17:12:29:184, __InstanceDeletionEvent, svchost.exe, 20428
17:12:50:858, __InstanceDeletionEvent, chrome.exe, 9164
17:13:15:631, __InstanceCreationEvent, chrome.exe, 19104
17:13:50:730, __InstanceDeletionEvent, chrome.exe, 19104
17:14:15:524, __InstanceCreationEvent, chrome.exe, 10716
17:14:50:620, __InstanceDeletionEvent, chrome.exe, 10716
17:15:15:403, __InstanceCreationEvent, chrome.exe, 20172
17:15:50:510, __InstanceDeletionEvent, chrome.exe, 20172
17:16:15:301, __InstanceCreationEvent, chrome.exe, 17024
17:16:15:301, __InstanceCreationEvent, chrome.exe, 22112
17:16:15:317, __InstanceCreationEvent, chrome.exe, 2280
17:16:30:786, __InstanceDeletionEvent, chrome.exe, 22112
17:16:46:268, __InstanceDeletionEvent, chrome.exe, 11612
17:16:50:412, __InstanceDeletionEvent, chrome.exe, 17024
17:17:15:205, __InstanceDeletionEvent, svchost.exe, 17836
17:17:15:214, __InstanceCreationEvent, chrome.exe, 3532
17:17:24:536, __InstanceCreationEvent, LogonUI.exe, 13804
17:17:25:545, __InstanceCreationEvent, svchost.exe, 16192
17:17:25:561, __InstanceCreationEvent, svchost.exe, 20364
17:17:25:561, __InstanceCreationEvent, svchost.exe, 20844
17:17:25:561, __InstanceCreationEvent, VSSVC.exe, 20964
17:17:25:561, __InstanceCreationEvent, wermgr.exe, 21892
17:17:25:561, __InstanceCreationEvent, svchost.exe, 5784
19:38:5:28, __InstanceCreationEvent, MicrosoftEdgeUpdate.exe, 11540
19:38:5:238, __InstanceCreationEvent, conhost.exe, 16372
19:38:5:238, __InstanceCreationEvent, appidcertstorecheck.exe, 16852
19:38:5:238, __InstanceCreationEvent, taskhostw.exe, 18636
19:38:5:238, __InstanceCreationEvent, GoogleUpdate.exe, 20996
19:38:5:238, __InstanceCreationEvent, wermgr.exe, 9016
19:38:5:238, __InstanceCreationEvent, svchost.exe, 11856
19:38:5:238, __InstanceCreationEvent, AdobeARM.exe, 18560
19:38:5:238, __InstanceCreationEvent, wermgr.exe, 6424
19:38:5:238, __InstanceCreationEvent, GoogleUpdate.exe, 14112
19:38:5:367, __InstanceDeletionEvent, wermgr.exe, 21892
19:38:5:399, __InstanceDeletionEvent, MicrosoftEdgeUpdate.exe, 11540
19:38:5:399, __InstanceDeletionEvent, conhost.exe, 16372
19:38:5:399, __InstanceDeletionEvent, appidcertstorecheck.exe, 16852
19:38:5:399, __InstanceDeletionEvent, taskhostw.exe, 18636
19:38:5:399, __InstanceDeletionEvent, wermgr.exe, 9016
19:38:5:399, __InstanceDeletionEvent, GoogleUpdate.exe, 14112
19:38:5:399, __InstanceDeletionEvent, GoogleUpdate.exe, 20996
19:38:5:461, __InstanceCreationEvent, backgroundTaskHost.exe, 10064
19:38:5:461, __InstanceCreationEvent, backgroundTaskHost.exe, 10120
19:38:5:461, __InstanceCreationEvent, svchost.exe, 16952
19:38:5:461, __InstanceCreationEvent, dllhost.exe, 17424
19:38:5:461, __InstanceCreationEvent, chrome.exe, 19956
19:38:5:461, __InstanceCreationEvent, msteamsupdate.exe, 2420
19:38:5:461, __InstanceCreationEvent, backgroundTaskHost.exe, 5048
19:38:5:461, __InstanceCreationEvent, msteamsupdate.exe, 7616
19:38:5:461, __InstanceCreationEvent, svchost.exe, 8248
19:38:6:515, __InstanceDeletionEvent, AdobeARM.exe, 18560
19:38:6:525, __InstanceCreationEvent, chrome.exe, 11100
19:38:6:529, __InstanceCreationEvent, RuntimeBroker.exe, 21064
19:38:6:529, __InstanceCreationEvent, backgroundTaskHost.exe, 3468
19:38:6:529, __InstanceCreationEvent, RuntimeBroker.exe, 7892
